"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"245","CACNA1F CACNAF1",1.86306460614324,0.746378730603565,FALSE
"246","CEMIP2 KIAA1412 TMEM2",1.86058186641229,0.226551656347853,FALSE
"247","Q6ZS46",1.85481287709039,0.0499845896324777,FALSE
"248","YKT6",1.8404181065711,0.160104757280223,FALSE
"249","PPP2R5D",1.83824813388049,0.12614474834235,FALSE
"250","UBE4A KIAA0126",1.83745264760501,0.6840776547108,FALSE
"251","EIF4B",1.83585980462667,0.147360791084287,FALSE
"252","RBMXL2 HNRNPGT",1.83333617973045,0.0591385862842731,FALSE
"253","COX10",1.83056144747466,0.247268045112428,FALSE
"254","UNC45A SMAP1",1.82777845804914,0.0588150403090793,FALSE
"255","INCENP",1.82711180034353,0.0960826359656159,FALSE
"256","ZNF630",1.81784530940333,0.0971982380811169,FALSE
"257","KMT2E MLL5",1.81486813484431,0.251385450401315,FALSE
"258","SLC39A6 LIV1 ZIP6",1.81109481447624,0.110095075759213,FALSE
"259","FBH1 FBX18 FBXO18",1.81020904262845,0.0732113157254548,FALSE
"260","PHF3 KIAA0244",1.80600145529399,0.146723800338527,FALSE
"261","SPICE1 CCDC52 SPICE",1.80355264096879,0.308620286619576,FALSE
"262","FBL FIB1 FLRN",1.79540522329583,0.135730378953489,FALSE
"263","KCNB1",1.79188337521635,0.0543316828634479,FALSE
"264","SCUBE3 CEGF3",1.78751443810144,0.0838341883726469,FALSE
"265","ZBTB38",1.78732003164259,0.143605317124637,FALSE
"266","GALE",1.78453602848928,0.0673996929534853,FALSE
"267","ARMC9 KIAA1868",1.78168855999962,0.0963720639989429,FALSE
"268","CBLB RNF56 Nbla00127",1.77460091386866,0.171693250203033,FALSE
"269","KIF1C KIAA0706",1.77364588970525,0.121270784730524,FALSE
"270","ZNF483 KIAA1962 ZKSCAN16",1.77319860140097,0.209126237761922,FALSE
"271","PRMT8 HRMT1L3 HRMT1L4",1.77243305250112,0.509874664784192,FALSE
"272","PLA2G2A PLA2B PLA2L RASF-A",1.76883861990938,0.217723716470173,FALSE
"273","ACBD5 KIAA1996",1.76797118632727,0.0862700405790848,FALSE
"274","PTCH2 UNQ560/PRO1121/PRO57079",1.76106826555006,0.397539515750887,FALSE
"275","DBX2",1.75896133088848,0.26130757963569,FALSE
"276","INVS INV NPHP2",1.75185608513141,0.123168410068175,FALSE
"277","GABRA3",1.74776111790066,0.0941551214989822,FALSE
"278","FAM13C FAM13C1",1.74636779394434,0.474316998852241,FALSE
"279","ZNF184",1.74552135805618,0.0635212344281979,FALSE
"280","IFT172 KIAA1179",1.74266010096023,0.0511595969262637,FALSE
"281","MYCL BHLHE38 LMYC MYCL1",1.7384272633591,0.143345546899192,FALSE
"282","PLEKHA7",1.73390563656912,0.145646082248977,FALSE
"283","LRRC47 KIAA1185",1.72967002714406,0.0821959744673866,FALSE
"284","PCF11 KIAA0824",1.72892782042481,0.369453474320086,FALSE
"285","MBD6 KIAA1887",1.72516433437236,0.0626612156744381,FALSE
"286","PPP3R2 CBLP PPP3RL",1.71456076901201,0.0707750114408492,FALSE
"287","CCL26 SCYA26 UNQ216/PRO242",1.71447981139739,0.150283964171456,FALSE
"288","RASSF2 CENP-34 KIAA0168",1.71323708760942,0.136931231212781,FALSE
"289","ABCA4 ABCR",1.71045660575286,0.0423427931055337,FALSE
"290","BDP1 KIAA1241 KIAA1689 TFNR",1.70392765830663,0.0399959331674203,FALSE
"291","CCDC160",1.70338610325052,0.0415461647388908,FALSE
"292","IQCJ-SCHIP1",1.69499053646069,0.111715521436906,FALSE
"293","PLCG2",1.69252733964346,0.58684291319283,FALSE
"294","PLEKHM1 KIAA0356",1.69198481847403,0.0611420142784621,FALSE
"295","ITSN2 KIAA1256 SH3D1B SWAP",1.69197584184599,0.0945092247375791,FALSE
"296","ARHGAP20 KIAA1391",1.68900862277805,0.558369614187162,FALSE
"297","RGN SMP30",1.68866644391501,0.0710558335010236,FALSE
"298","RAPGEF6 PDZGEF2",1.68420951861903,0.0938602801480241,FALSE
"299","NIBAN1 C1orf24 FAM129A NIBAN GIG39",1.68348743554629,0.180847304503546,FALSE
"300","CTSA PPGB",1.68000783542561,0.137201717306818,FALSE
"301","EFHC1",1.6798489470602,0.121672081138326,FALSE
"302","EIF3A EIF3S10 KIAA0139",1.67531398305015,0.138207654978,FALSE
"303","BTBD10 GMRP1",1.67452669647523,0.0529554038925011,FALSE
"304","AZU1",1.67316402634503,0.107956050097611,FALSE
"305","KIF9",1.67292061283708,0.0564954897535804,FALSE
"306","GGT1 GGT",1.66555374140055,0.207597749264046,FALSE
"307","PPME1 PME1 PP2593 PRO0750",1.66411919844473,0.0749843435061173,FALSE
"308","KRT1 KRTA",1.66369917444955,0.0866300427611604,FALSE
"309","CIC KIAA0306",1.66359837097115,0.04568393980036,FALSE
"310","TEP1 TLP1 TP1",1.66234471709172,0.228037691469745,FALSE
"311","NEDD9 CASL CASS2",1.6566438144858,0.343476990372819,FALSE
"312","GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1",1.64295464657414,0.296753337896066,FALSE
